[info] Migrando 26 tabelas com concorrência=4...
[progress] agencies iniciando
[progress] agencies 0% iniciando
[progress] commerce_committee_taxes 42% inserindo (403/947)
[progress] oauth_access_tokens 2% inserindo (114/3909)
[progress] deadlines 31% inserindo (378/1207)
[progress] cities 7% inserindo (404/5569)
[progress] commerce_committee_taxes 42% inserindo (404/947)
[progress] oauth_access_tokens 2% inserindo (115/3909)
[progress] deadlines 31% inserindo (379/1207)
[progress] cities 7% inserindo (405/5569)
[progress] commerce_committee_taxes 42% inserindo (405/947)
[progress] oauth_access_tokens 2% inserindo (116/3909)
[progress] deadlines 31% inserindo (380/1207)
[progress] cities 7% inserindo (406/5569)
[progress] commerce_committee_taxes 42% inserindo (406/947)
[progress] oauth_access_tokens 3% inserindo (117/3909)
[progress] deadlines 31% inserindo (381/1207)
[progress] cities 7% inserindo (407/5569)
[progress] commerce_committee_taxes 43% inserindo (407/947)
[progress] oauth_access_tokens 3% inserindo (118/3909)
[progress] deadlines 31% inserindo (382/1207)
[progress] cities 7% inserindo (408/5569)
[progress] commerce_committee_taxes 43% inserindo (408/947)
[progress] oauth_access_tokens 3% inserindo (119/3909)
[progress] deadlines 31% inserindo (383/1207)
[progress] cities 7% inserindo (409/5569)
[progress] commerce_committee_taxes 43% inserindo (409/947)
[progress] oauth_access_tokens 3% inserindo (120/3909)
[progress] deadlines 31% inserindo (384/1207)
[progress] cities 7% inserindo (410/5569)
[progress] commerce_committee_taxes 43% inserindo (410/947)
[progress] oauth_access_tokens 3% inserindo (121/3909)
[progress] cities 7% inserindo (411/5569)
[progress] deadlines 31% inserindo (385/1207)
[progress] commerce_committee_taxes 43% inserindo (411/947)
[progress] oauth_access_tokens 3% inserindo (122/3909)
[progress] deadlines 32% inserindo (386/1207)
[progress] cities 7% inserindo (412/5569)
[progress] commerce_committee_taxes 43% inserindo (412/947)
[progress] cities 7% inserindo (413/5569)
[progress] deadlines 32% inserindo (387/1207)
[progress] oauth_access_tokens 3% inserindo (123/3909)
[progress] commerce_committee_taxes 43% inserindo (413/947)
[progress] cities 7% inserindo (414/5569)
[progress] deadlines 32% inserindo (388/1207)
[progress] oauth_access_tokens 3% inserindo (124/3909)
[progress] commerce_committee_taxes 43% inserindo (414/947)
[progress] cities 7% inserindo (415/5569)
[progress] deadlines 32% inserindo (389/1207)
[progress] oauth_access_tokens 3% inserindo (125/3909)
[progress] commerce_committee_taxes 43% inserindo (415/947)
[progress] cities 7% inserindo (416/5569)
[progress] deadlines 32% inserindo (390/1207)
[progress] oauth_access_tokens 3% inserindo (126/3909)
[progress] commerce_committee_taxes 44% inserindo (416/947)
[progress] cities 7% inserindo (417/5569)
[progress] deadlines 32% inserindo (391/1207)
[progress] oauth_access_tokens 3% inserindo (127/3909)
[progress] commerce_committee_taxes 44% inserindo (417/947)
[progress] cities 7% inserindo (418/5569)
[progress] deadlines 32% inserindo (392/1207)
[progress] oauth_access_tokens 3% inserindo (128/3909)
[progress] commerce_committee_taxes 44% inserindo (418/947)
[progress] cities 7% inserindo (419/5569)
[progress] oauth_access_tokens 3% inserindo (129/3909)
[progress] deadlines 32% inserindo (393/1207)
[progress] commerce_committee_taxes 44% inserindo (419/947)
[progress] cities 7% inserindo (420/5569)
[progress] oauth_access_tokens 3% inserindo (130/3909)
[progress] deadlines 32% inserindo (394/1207)
[progress] commerce_committee_taxes 44% inserindo (420/947)
[progress] cities 7% inserindo (421/5569)
[progress] oauth_access_tokens 3% inserindo (131/3909)
[progress] commerce_committee_taxes 44% inserindo (421/947)
[progress] deadlines 32% inserindo (395/1207)
[progress] cities 7% inserindo (422/5569)
[progress] oauth_access_tokens 3% inserindo (132/3909)
[progress] commerce_committee_taxes 44% inserindo (422/947)
[progress] deadlines 32% inserindo (396/1207)
[progress] cities 7% inserindo (423/5569)
[progress] oauth_access_tokens 3% inserindo (133/3909)
[progress] commerce_committee_taxes 44% inserindo (423/947)
[progress] deadlines 32% inserindo (397/1207)
[progress] cities 7% inserindo (424/5569)
[progress] commerce_committee_taxes 44% inserindo (424/947)
[progress] oauth_access_tokens 3% inserindo (134/3909)
[progress] deadlines 33% inserindo (398/1207)
[progress] cities 7% inserindo (425/5569)
[progress] oauth_access_tokens 3% inserindo (135/3909)
[progress] commerce_committee_taxes 44% inserindo (425/947)
[progress] deadlines 33% inserindo (399/1207)
[progress] cities 7% inserindo (426/5569)
[progress] commerce_committee_taxes 45% inserindo (426/947)
[progress] oauth_access_tokens 3% inserindo (136/3909)
[progress] deadlines 33% inserindo (400/1207)
[progress] cities 7% inserindo (427/5569)
[progress] commerce_committee_taxes 45% inserindo (427/947)
[progress] oauth_access_tokens 3% inserindo (137/3909)
[progress] deadlines 33% inserindo (401/1207)
[progress] cities 7% inserindo (428/5569)
[progress] commerce_committee_taxes 45% inserindo (428/947)
[progress] oauth_access_tokens 3% inserindo (138/3909)
[progress] deadlines 33% inserindo (402/1207)
[progress] cities 7% inserindo (429/5569)
[progress] commerce_committee_taxes 45% inserindo (429/947)
[progress] deadlines 33% inserindo (403/1207)
[progress] oauth_access_tokens 3% inserindo (139/3909)
[progress] cities 7% inserindo (430/5569)
[progress] commerce_committee_taxes 45% inserindo (430/947)
[progress] deadlines 33% inserindo (404/1207)
[progress] oauth_access_tokens 3% inserindo (140/3909)
[progress] cities 7% inserindo (431/5569)
[progress] commerce_committee_taxes 45% inserindo (431/947)
[progress] deadlines 33% inserindo (405/1207)
[progress] oauth_access_tokens 3% inserindo (141/3909)
[progress] cities 7% inserindo (432/5569)
[progress] deadlines 33% inserindo (406/1207)
[progress] commerce_committee_taxes 45% inserindo (432/947)
[progress] oauth_access_tokens 3% inserindo (142/3909)
[progress] cities 7% inserindo (433/5569)
[progress] deadlines 33% inserindo (407/1207)
[progress] oauth_access_tokens 3% inserindo (143/3909)
[progress] commerce_committee_taxes 45% inserindo (433/947)
[progress] cities 7% inserindo (434/5569)
[progress] oauth_access_tokens 3% inserindo (144/3909)
[progress] deadlines 33% inserindo (408/1207)
[progress] commerce_committee_taxes 45% inserindo (434/947)
[progress] cities 7% inserindo (435/5569)
[progress] deadlines 33% inserindo (409/1207)
[progress] oauth_access_tokens 3% inserindo (145/3909)
[progress] commerce_committee_taxes 46% inserindo (435/947)
[progress] cities 7% inserindo (436/5569)
[progress] deadlines 34% inserindo (410/1207)
[progress] oauth_access_tokens 3% inserindo (146/3909)
[progress] commerce_committee_taxes 46% inserindo (436/947)
[progress] deadlines 34% inserindo (411/1207)
[progress] cities 7% inserindo (437/5569)
[progress] oauth_access_tokens 3% inserindo (147/3909)
[progress] commerce_committee_taxes 46% inserindo (437/947)
[progress] cities 7% inserindo (438/5569)
[progress] oauth_access_tokens 3% inserindo (148/3909)
[progress] deadlines 34% inserindo (412/1207)
[progress] commerce_committee_taxes 46% inserindo (438/947)
[progress] cities 7% inserindo (439/5569)
[progress] oauth_access_tokens 3% inserindo (149/3909)
[progress] commerce_committee_taxes 46% inserindo (439/947)
[progress] deadlines 34% inserindo (413/1207)
[progress] cities 7% inserindo (440/5569)
[progress] oauth_access_tokens 3% inserindo (150/3909)
[progress] deadlines 34% inserindo (414/1207)
[progress] commerce_committee_taxes 46% inserindo (440/947)
[progress] cities 7% inserindo (441/5569)
[progress] commerce_committee_taxes 46% inserindo (441/947)
[progress] oauth_access_tokens 3% inserindo (151/3909)
[progress] deadlines 34% inserindo (415/1207)
[progress] cities 7% inserindo (442/5569)
[progress] commerce_committee_taxes 46% inserindo (442/947)
[progress] oauth_access_tokens 3% inserindo (152/3909)
[progress] deadlines 34% inserindo (416/1207)
[progress] cities 7% inserindo (443/5569)
[progress] commerce_committee_taxes 46% inserindo (443/947)
[progress] oauth_access_tokens 3% inserindo (153/3909)
[progress] deadlines 34% inserindo (417/1207)
[progress] cities 7% inserindo (444/5569)
[progress] commerce_committee_taxes 46% inserindo (444/947)
[progress] oauth_access_tokens 3% inserindo (154/3909)
[progress] deadlines 34% inserindo (418/1207)
[progress] cities 8% inserindo (445/5569)
[progress] commerce_committee_taxes 47% inserindo (445/947)
[progress] oauth_access_tokens 3% inserindo (155/3909)
[progress] deadlines 34% inserindo (419/1207)
[progress] cities 8% inserindo (446/5569)
[progress] commerce_committee_taxes 47% inserindo (446/947)
[progress] oauth_access_tokens 4% inserindo (156/3909)
[progress] deadlines 34% inserindo (420/1207)
[progress] cities 8% inserindo (447/5569)
[progress] commerce_committee_taxes 47% inserindo (447/947)
[progress] oauth_access_tokens 4% inserindo (157/3909)
[progress] deadlines 34% inserindo (421/1207)
[progress] cities 8% inserindo (448/5569)
[progress] oauth_access_tokens 4% inserindo (158/3909)
[progress] commerce_committee_taxes 47% inserindo (448/947)
[progress] deadlines 35% inserindo (422/1207)
[progress] cities 8% inserindo (449/5569)
[progress] oauth_access_tokens 4% inserindo (159/3909)
[progress] commerce_committee_taxes 47% inserindo (449/947)
[progress] deadlines 35% inserindo (423/1207)
[progress] cities 8% inserindo (450/5569)
[progress] oauth_access_tokens 4% inserindo (160/3909)
[progress] commerce_committee_taxes 47% inserindo (450/947)
[progress] deadlines 35% inserindo (424/1207)
[progress] cities 8% inserindo (451/5569)
[progress] oauth_access_tokens 4% inserindo (161/3909)
[progress] commerce_committee_taxes 47% inserindo (451/947)
[progress] deadlines 35% inserindo (425/1207)
[progress] cities 8% inserindo (452/5569)
[progress] oauth_access_tokens 4% inserindo (162/3909)
[progress] commerce_committee_taxes 47% inserindo (452/947)
[progress] deadlines 35% inserindo (426/1207)
[progress] cities 8% inserindo (453/5569)
[progress] oauth_access_tokens 4% inserindo (163/3909)
[progress] commerce_committee_taxes 47% inserindo (453/947)
[progress] deadlines 35% inserindo (427/1207)
[progress] cities 8% inserindo (454/5569)
[progress] deadlines 35% inserindo (428/1207)
[progress] oauth_access_tokens 4% inserindo (164/3909)
[progress] commerce_committee_taxes 48% inserindo (454/947)
[progress] cities 8% inserindo (455/5569)
[progress] deadlines 35% inserindo (429/1207)
[progress] oauth_access_tokens 4% inserindo (165/3909)
[progress] commerce_committee_taxes 48% inserindo (455/947)
[progress] cities 8% inserindo (456/5569)
[progress] deadlines 35% inserindo (430/1207)
[progress] oauth_access_tokens 4% inserindo (166/3909)
[progress] commerce_committee_taxes 48% inserindo (456/947)
[progress] cities 8% inserindo (457/5569)
[progress] deadlines 35% inserindo (431/1207)
[progress] oauth_access_tokens 4% inserindo (167/3909)
[progress] commerce_committee_taxes 48% inserindo (457/947)
[progress] cities 8% inserindo (458/5569)
[progress] deadlines 35% inserindo (432/1207)
[progress] oauth_access_tokens 4% inserindo (168/3909)
[progress] commerce_committee_taxes 48% inserindo (458/947)
[progress] cities 8% inserindo (459/5569)
[progress] deadlines 35% inserindo (433/1207)
[progress] oauth_access_tokens 4% inserindo (169/3909)
[progress] commerce_committee_taxes 48% inserindo (459/947)
[progress] cities 8% inserindo (460/5569)
[progress] deadlines 36% inserindo (434/1207)
[progress] oauth_access_tokens 4% inserindo (170/3909)
[progress] commerce_committee_taxes 48% inserindo (460/947)
[progress] cities 8% inserindo (461/5569)
[progress] deadlines 36% inserindo (435/1207)
[progress] commerce_committee_taxes 48% inserindo (461/947)
[progress] oauth_access_tokens 4% inserindo (171/3909)
[progress] cities 8% inserindo (462/5569)
[progress] deadlines 36% inserindo (436/1207)
[progress] commerce_committee_taxes 48% inserindo (462/947)
[progress] oauth_access_tokens 4% inserindo (172/3909)
[progress] cities 8% inserindo (463/5569)
[progress] deadlines 36% inserindo (437/1207)
[progress] commerce_committee_taxes 48% inserindo (463/947)
[progress] oauth_access_tokens 4% inserindo (173/3909)
[progress] cities 8% inserindo (464/5569)
[progress] deadlines 36% inserindo (438/1207)
[progress] commerce_committee_taxes 49% inserindo (464/947)
[progress] oauth_access_tokens 4% inserindo (174/3909)
[progress] cities 8% inserindo (465/5569)
[progress] deadlines 36% inserindo (439/1207)
[progress] commerce_committee_taxes 49% inserindo (465/947)
[progress] oauth_access_tokens 4% inserindo (175/3909)
[progress] cities 8% inserindo (466/5569)
[progress] deadlines 36% inserindo (440/1207)
[progress] commerce_committee_taxes 49% inserindo (466/947)
[progress] oauth_access_tokens 4% inserindo (176/3909)
[progress] cities 8% inserindo (467/5569)
[progress] deadlines 36% inserindo (441/1207)
[progress] commerce_committee_taxes 49% inserindo (467/947)
[progress] oauth_access_tokens 4% inserindo (177/3909)
[progress] cities 8% inserindo (468/5569)
[progress] deadlines 36% inserindo (442/1207)
[progress] commerce_committee_taxes 49% inserindo (468/947)
[progress] oauth_access_tokens 4% inserindo (178/3909)
[progress] cities 8% inserindo (469/5569)
[progress] deadlines 36% inserindo (443/1207)
[progress] commerce_committee_taxes 49% inserindo (469/947)
[progress] oauth_access_tokens 4% inserindo (179/3909)
[progress] cities 8% inserindo (470/5569)
[progress] deadlines 36% inserindo (444/1207)
[progress] commerce_committee_taxes 49% inserindo (470/947)
[progress] oauth_access_tokens 4% inserindo (180/3909)
[progress] cities 8% inserindo (471/5569)
[progress] deadlines 36% inserindo (445/1207)
[progress] commerce_committee_taxes 49% inserindo (471/947)
[progress] oauth_access_tokens 4% inserindo (181/3909)
[progress] cities 8% inserindo (472/5569)
[progress] commerce_committee_taxes 49% inserindo (472/947)
[progress] deadlines 37% inserindo (446/1207)
[progress] oauth_access_tokens 4% inserindo (182/3909)
[progress] cities 8% inserindo (473/5569)
[progress] commerce_committee_taxes 50% inserindo (473/947)
[progress] oauth_access_tokens 4% inserindo (183/3909)
[progress] deadlines 37% inserindo (447/1207)
[progress] cities 8% inserindo (474/5569)
[progress] commerce_committee_taxes 50% inserindo (474/947)
[progress] deadlines 37% inserindo (448/1207)
[progress] oauth_access_tokens 4% inserindo (184/3909)
[progress] cities 8% inserindo (475/5569)
[progress] commerce_committee_taxes 50% inserindo (475/947)
[progress] deadlines 37% inserindo (449/1207)
[progress] oauth_access_tokens 4% inserindo (185/3909)
[progress] cities 8% inserindo (476/5569)
[progress] commerce_committee_taxes 50% inserindo (476/947)
[progress] deadlines 37% inserindo (450/1207)
[progress] oauth_access_tokens 4% inserindo (186/3909)
[progress] cities 8% inserindo (477/5569)
[progress] commerce_committee_taxes 50% inserindo (477/947)
[progress] deadlines 37% inserindo (451/1207)
[progress] oauth_access_tokens 4% inserindo (187/3909)
[progress] commerce_committee_taxes 50% inserindo (478/947)
[progress] cities 8% inserindo (478/5569)
[progress] deadlines 37% inserindo (452/1207)
[progress] oauth_access_tokens 4% inserindo (188/3909)
[progress] cities 8% inserindo (479/5569)
[progress] commerce_committee_taxes 50% inserindo (479/947)
[progress] oauth_access_tokens 4% inserindo (189/3909)
[progress] deadlines 37% inserindo (453/1207)
[progress] cities 8% inserindo (480/5569)
[progress] commerce_committee_taxes 50% inserindo (480/947)
[progress] deadlines 37% inserindo (454/1207)
[progress] oauth_access_tokens 4% inserindo (190/3909)
[progress] cities 8% inserindo (481/5569)
[progress] commerce_committee_taxes 50% inserindo (481/947)
[progress] deadlines 37% inserindo (455/1207)
[progress] oauth_access_tokens 4% inserindo (191/3909)
[progress] cities 8% inserindo (482/5569)
[progress] commerce_committee_taxes 51% inserindo (482/947)
[progress] oauth_access_tokens 4% inserindo (192/3909)
[progress] deadlines 37% inserindo (456/1207)
[progress] cities 8% inserindo (483/5569)
[progress] commerce_committee_taxes 51% inserindo (483/947)
[progress] deadlines 37% inserindo (457/1207)
[progress] oauth_access_tokens 4% inserindo (193/3909)
[progress] cities 8% inserindo (484/5569)
[progress] commerce_committee_taxes 51% inserindo (484/947)
[progress] deadlines 38% inserindo (458/1207)
[progress] oauth_access_tokens 4% inserindo (194/3909)
[progress] cities 8% inserindo (485/5569)
[progress] commerce_committee_taxes 51% inserindo (485/947)
[progress] deadlines 38% inserindo (459/1207)
[progress] oauth_access_tokens 5% inserindo (195/3909)
[progress] cities 8% inserindo (486/5569)
[progress] commerce_committee_taxes 51% inserindo (486/947)
[progress] deadlines 38% inserindo (460/1207)
[progress] oauth_access_tokens 5% inserindo (196/3909)
[progress] cities 8% inserindo (487/5569)
[progress] commerce_committee_taxes 51% inserindo (487/947)
[progress] deadlines 38% inserindo (461/1207)
[progress] oauth_access_tokens 5% inserindo (197/3909)
[progress] cities 8% inserindo (488/5569)
[progress] commerce_committee_taxes 51% inserindo (488/947)
[progress] deadlines 38% inserindo (462/1207)
[progress] oauth_access_tokens 5% inserindo (198/3909)
[progress] cities 8% inserindo (489/5569)
[progress] commerce_committee_taxes 51% inserindo (489/947)
[progress] deadlines 38% inserindo (463/1207)
[progress] oauth_access_tokens 5% inserindo (199/3909)
[progress] cities 8% inserindo (490/5569)
[progress] deadlines 38% inserindo (464/1207)
[progress] commerce_committee_taxes 51% inserindo (490/947)
[progress] oauth_access_tokens 5% inserindo (200/3909)
[progress] cities 8% inserindo (491/5569)
[progress] commerce_committee_taxes 51% inserindo (491/947)
[progress] deadlines 38% inserindo (465/1207)
[progress] cities 8% inserindo (492/5569)
[progress] oauth_access_tokens 5% inserindo (201/3909)
[progress] commerce_committee_taxes 52% inserindo (492/947)
[progress] deadlines 38% inserindo (466/1207)
[progress] oauth_access_tokens 5% inserindo (202/3909)
[progress] cities 8% inserindo (493/5569)
[progress] commerce_committee_taxes 52% inserindo (493/947)
[progress] deadlines 38% inserindo (467/1207)
[progress] oauth_access_tokens 5% inserindo (203/3909)
[progress] cities 8% inserindo (494/5569)
[progress] deadlines 38% inserindo (468/1207)
[progress] commerce_committee_taxes 52% inserindo (494/947)
[progress] oauth_access_tokens 5% inserindo (204/3909)
[progress] commerce_committee_taxes 52% inserindo (495/947)
[progress] deadlines 38% inserindo (469/1207)
[progress] cities 8% inserindo (495/5569)
[progress] oauth_access_tokens 5% inserindo (205/3909)
[progress] commerce_committee_taxes 52% inserindo (496/947)
[progress] deadlines 39% inserindo (470/1207)
[progress] cities 8% inserindo (496/5569)
[progress] commerce_committee_taxes 52% inserindo (497/947)
[progress] oauth_access_tokens 5% inserindo (206/3909)
[progress] cities 8% inserindo (497/5569)
[progress] deadlines 39% inserindo (471/1207)
[progress] commerce_committee_taxes 52% inserindo (498/947)
[progress] oauth_access_tokens 5% inserindo (207/3909)
[progress] cities 8% inserindo (498/5569)
[progress] deadlines 39% inserindo (472/1207)
[progress] commerce_committee_taxes 52% inserindo (499/947)
[progress] oauth_access_tokens 5% inserindo (208/3909)
[progress] cities 8% inserindo (499/5569)
[progress] deadlines 39% inserindo (473/1207)
[progress] commerce_committee_taxes 52% inserindo (500/947)
[progress] oauth_access_tokens 5% inserindo (209/3909)
[progress] cities 8% inserindo (500/5569)
[progress] deadlines 39% inserindo (474/1207)
[progress] oauth_access_tokens 5% inserindo (210/3909)
[progress] commerce_committee_taxes 53% inserindo (501/947)
[progress] cities 9% inserindo (501/5569)
[progress] oauth_access_tokens 5% inserindo (211/3909)
[progress] deadlines 39% inserindo (475/1207)
[progress] commerce_committee_taxes 53% inserindo (502/947)
[progress] cities 9% inserindo (502/5569)
[progress] oauth_access_tokens 5% inserindo (212/3909)
[progress] deadlines 39% inserindo (476/1207)
[progress] commerce_committee_taxes 53% inserindo (503/947)
[progress] cities 9% inserindo (503/5569)
[progress] oauth_access_tokens 5% inserindo (213/3909)
[progress] deadlines 39% inserindo (477/1207)
[progress] commerce_committee_taxes 53% inserindo (504/947)
[progress] cities 9% inserindo (504/5569)
[progress] oauth_access_tokens 5% inserindo (214/3909)
[progress] deadlines 39% inserindo (478/1207)
[progress] commerce_committee_taxes 53% inserindo (505/947)
[progress] cities 9% inserindo (505/5569)
[progress] oauth_access_tokens 5% inserindo (215/3909)
[progress] commerce_committee_taxes 53% inserindo (506/947)
[progress] deadlines 39% inserindo (479/1207)
[progress] cities 9% inserindo (506/5569)
[progress] deadlines 39% inserindo (480/1207)
[progress] commerce_committee_taxes 53% inserindo (507/947)
[progress] cities 9% inserindo (507/5569)
[progress] commerce_committee_taxes 53% inserindo (508/947)
[progress] deadlines 39% inserindo (481/1207)
[progress] oauth_access_tokens 5% inserindo (216/3909)
[progress] cities 9% inserindo (508/5569)
[progress] commerce_committee_taxes 53% inserindo (509/947)
[progress] deadlines 40% inserindo (482/1207)
[progress] oauth_access_tokens 5% inserindo (217/3909)
[progress] cities 9% inserindo (509/5569)
[progress] commerce_committee_taxes 53% inserindo (510/947)
[progress] deadlines 40% inserindo (483/1207)
[progress] oauth_access_tokens 5% inserindo (218/3909)
[progress] commerce_committee_taxes 54% inserindo (511/947)
[progress] cities 9% inserindo (510/5569)
[progress] oauth_access_tokens 5% inserindo (219/3909)
[progress] deadlines 40% inserindo (484/1207)
[progress] commerce_committee_taxes 54% inserindo (512/947)
[progress] cities 9% inserindo (511/5569)
[progress] oauth_access_tokens 5% inserindo (220/3909)
[progress] deadlines 40% inserindo (485/1207)
[progress] oauth_access_tokens 5% inserindo (221/3909)
[progress] commerce_committee_taxes 54% inserindo (513/947)
[progress] cities 9% inserindo (512/5569)
[progress] deadlines 40% inserindo (486/1207)
[progress] oauth_access_tokens 5% inserindo (222/3909)
[progress] cities 9% inserindo (513/5569)
[progress] commerce_committee_taxes 54% inserindo (514/947)
[progress] deadlines 40% inserindo (487/1207)
[progress] cities 9% inserindo (514/5569)
[progress] oauth_access_tokens 5% inserindo (223/3909)
[progress] commerce_committee_taxes 54% inserindo (515/947)
[progress] deadlines 40% inserindo (488/1207)
[progress] cities 9% inserindo (515/5569)
[progress] commerce_committee_taxes 54% inserindo (516/947)
[progress] oauth_access_tokens 5% inserindo (224/3909)
[progress] deadlines 40% inserindo (489/1207)
[progress] cities 9% inserindo (516/5569)
[progress] commerce_committee_taxes 54% inserindo (517/947)
[progress] oauth_access_tokens 5% inserindo (225/3909)
[progress] deadlines 40% inserindo (490/1207)
[progress] cities 9% inserindo (517/5569)
[progress] commerce_committee_taxes 54% inserindo (518/947)
[progress] oauth_access_tokens 5% inserindo (226/3909)
[progress] deadlines 40% inserindo (491/1207)
[progress] cities 9% inserindo (518/5569)
[progress] commerce_committee_taxes 54% inserindo (519/947)
[progress] deadlines 40% inserindo (492/1207)
[progress] oauth_access_tokens 5% inserindo (227/3909)
[progress] cities 9% inserindo (519/5569)
[progress] commerce_committee_taxes 55% inserindo (520/947)
[progress] oauth_access_tokens 5% inserindo (228/3909)
[progress] deadlines 40% inserindo (493/1207)
[progress] cities 9% inserindo (520/5569)
[progress] oauth_access_tokens 5% inserindo (229/3909)
[progress] deadlines 41% inserindo (494/1207)
[progress] commerce_committee_taxes 55% inserindo (521/947)
[progress] oauth_access_tokens 5% inserindo (230/3909)
[progress] cities 9% inserindo (521/5569)
[progress] deadlines 41% inserindo (495/1207)
[progress] commerce_committee_taxes 55% inserindo (522/947)
[progress] oauth_access_tokens 5% inserindo (231/3909)
[progress] commerce_committee_taxes 55% inserindo (523/947)
[progress] cities 9% inserindo (522/5569)
[progress] deadlines 41% inserindo (496/1207)
[progress] oauth_access_tokens 5% inserindo (232/3909)
[progress] cities 9% inserindo (523/5569)
[progress] deadlines 41% inserindo (497/1207)
[progress] commerce_committee_taxes 55% inserindo (524/947)
[progress] cities 9% inserindo (524/5569)
[progress] deadlines 41% inserindo (498/1207)
[progress] oauth_access_tokens 5% inserindo (233/3909)
[progress] commerce_committee_taxes 55% inserindo (525/947)
[progress] cities 9% inserindo (525/5569)
[progress] commerce_committee_taxes 55% inserindo (526/947)
[progress] deadlines 41% inserindo (499/1207)
[progress] oauth_access_tokens 6% inserindo (234/3909)
[progress] cities 9% inserindo (526/5569)
[progress] commerce_committee_taxes 55% inserindo (527/947)
[progress] deadlines 41% inserindo (500/1207)
[progress] oauth_access_tokens 6% inserindo (235/3909)
[progress] cities 9% inserindo (527/5569)
[progress] commerce_committee_taxes 55% inserindo (528/947)
[progress] deadlines 41% inserindo (501/1207)
[progress] oauth_access_tokens 6% inserindo (236/3909)
[progress] cities 9% inserindo (528/5569)
[progress] commerce_committee_taxes 55% inserindo (529/947)
[progress] deadlines 41% inserindo (502/1207)
[progress] oauth_access_tokens 6% inserindo (237/3909)
[progress] cities 9% inserindo (529/5569)
[progress] oauth_access_tokens 6% inserindo (238/3909)
[progress] commerce_committee_taxes 56% inserindo (530/947)
[progress] deadlines 41% inserindo (503/1207)
[progress] oauth_access_tokens 6% inserindo (239/3909)
[progress] commerce_committee_taxes 56% inserindo (531/947)
[progress] deadlines 41% inserindo (504/1207)
[progress] cities 9% inserindo (530/5569)
[progress] cities 9% inserindo (531/5569)
[progress] deadlines 41% inserindo (505/1207)
[progress] commerce_committee_taxes 56% inserindo (532/947)
[progress] oauth_access_tokens 6% inserindo (240/3909)
[progress] cities 9% inserindo (532/5569)
[progress] deadlines 42% inserindo (506/1207)
[progress] commerce_committee_taxes 56% inserindo (533/947)
[progress] oauth_access_tokens 6% inserindo (241/3909)
[progress] cities 9% inserindo (533/5569)
[progress] commerce_committee_taxes 56% inserindo (534/947)
[progress] oauth_access_tokens 6% inserindo (242/3909)
[progress] deadlines 42% inserindo (507/1207)
[progress] cities 9% inserindo (534/5569)
[progress] commerce_committee_taxes 56% inserindo (535/947)
[progress] oauth_access_tokens 6% inserindo (243/3909)
[progress] deadlines 42% inserindo (508/1207)
[progress] cities 9% inserindo (535/5569)
[progress] commerce_committee_taxes 56% inserindo (536/947)
[progress] oauth_access_tokens 6% inserindo (244/3909)
[progress] deadlines 42% inserindo (509/1207)
[progress] cities 9% inserindo (536/5569)
[progress] commerce_committee_taxes 56% inserindo (537/947)
[progress] oauth_access_tokens 6% inserindo (245/3909)
[progress] cities 9% inserindo (537/5569)
[progress] deadlines 42% inserindo (510/1207)
[progress] cities 9% inserindo (538/5569)
[progress] commerce_committee_taxes 56% inserindo (538/947)
[progress] oauth_access_tokens 6% inserindo (246/3909)
[progress] deadlines 42% inserindo (511/1207)
[progress] commerce_committee_taxes 57% inserindo (539/947)
[progress] cities 9% inserindo (539/5569)
[progress] deadlines 42% inserindo (512/1207)
[progress] oauth_access_tokens 6% inserindo (247/3909)
[progress] commerce_committee_taxes 57% inserindo (540/947)
[progress] cities 9% inserindo (540/5569)
[progress] deadlines 42% inserindo (513/1207)
[progress] oauth_access_tokens 6% inserindo (248/3909)
[progress] commerce_committee_taxes 57% inserindo (541/947)
[progress] cities 9% inserindo (541/5569)
[progress] deadlines 42% inserindo (514/1207)
[progress] oauth_access_tokens 6% inserindo (249/3909)
[progress] cities 9% inserindo (542/5569)
[progress] oauth_access_tokens 6% inserindo (250/3909)
[progress] commerce_committee_taxes 57% inserindo (542/947)
[progress] deadlines 42% inserindo (515/1207)
[progress] cities 9% inserindo (543/5569)
[progress] commerce_committee_taxes 57% inserindo (543/947)
[progress] oauth_access_tokens 6% inserindo (251/3909)
[progress] deadlines 42% inserindo (516/1207)
[progress] oauth_access_tokens 6% inserindo (252/3909)
[progress] commerce_committee_taxes 57% inserindo (544/947)
[progress] deadlines 42% inserindo (517/1207)
[progress] cities 9% inserindo (544/5569)
[progress] oauth_access_tokens 6% inserindo (253/3909)
[progress] commerce_committee_taxes 57% inserindo (545/947)
[progress] cities 9% inserindo (545/5569)
[progress] deadlines 42% inserindo (518/1207)
[progress] oauth_access_tokens 6% inserindo (254/3909)
[progress] commerce_committee_taxes 57% inserindo (546/947)
[progress] deadlines 43% inserindo (519/1207)
[progress] cities 9% inserindo (546/5569)
[progress] oauth_access_tokens 6% inserindo (255/3909)
[progress] commerce_committee_taxes 57% inserindo (547/947)
[progress] cities 9% inserindo (547/5569)
[progress] deadlines 43% inserindo (520/1207)
[progress] commerce_committee_taxes 57% inserindo (548/947)
[progress] cities 9% inserindo (548/5569)
[progress] oauth_access_tokens 6% inserindo (256/3909)
[progress] deadlines 43% inserindo (521/1207)
[progress] commerce_committee_taxes 58% inserindo (549/947)
[progress] oauth_access_tokens 6% inserindo (257/3909)
[progress] deadlines 43% inserindo (522/1207)
